AREA_CODE,AVG_TEMPERATURE_AIR_2M_F,AVG_HUMIDITY_RELATIVE_2M_PCT,TOT_PRECIPITATION_IN,land_use_Water,notable_avg_particulate_matter_2p5_ugpm3_x10
102,80.775,61.4375,0.82,0,210.053125
103,88.3,60.36875,0.08,0,298.01125
403,88.38125,60.28125,0.16,0.1494,385.688125
107,81.21875,85.6625,4.3,0,196.248125
212,78.775,87.2,4.87,0,168.229375
104,85.28125,78.6,4.04,0,211.32375
606,84.66875,81.85,2.23,2.00E-04,195.463125
106,85.04375,76.1625,1.44,0.0014,185.9725
801,88.1875,70.4,1.7,0.0055,265.061875
304,82.175,85.0125,4.39,0.0014,164.265625
