,adm2_code,iso_a2,name,code_local,region,latitude_deg,longitude_deg,dst_offset_minutes,max_carbon_monoxide_ppm_x10,min_carbon_monoxide_ppm_x10,avg_carbon_monoxide_ppm_x10,max_sulfur_dioxide_ppb,min_sulfur_dioxide_ppb,avg_sulfur_dioxide_ppb,max_nitrogen_dioxide_ppb,min_nitrogen_dioxide_ppb,avg_nitrogen_dioxide_ppb,max_ozone_ppm_x1000,min_ozone_ppm_x1000,avg_ozone_ppm_x1000,max_particulate_matter_2p5_ugpm3_x10,min_particulate_matter_2p5_ugpm3_x10,avg_particulate_matter_2p5_ugpm3_x10,max_particulate_matter_10_ugpm3,min_particulate_matter_10_ugpm3,avg_particulate_matter_10_ugpm3,max_particulate_matter_1_ugpm3,min_particulate_matter_1_ugpm3,avg_particulate_matter_1_ugpm3,date,fips
169,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.91,1,1.72,15.28,0.95,4.06,58.12,1,7.67,75.88,1.52,44.97,584.33,0,88.34,82.35,0,12.73,50.11,0,7.17,1/1/2010,1003
170,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,8.01,1,2.17,17.16,0.97,4.31,51.26,0.95,7.77,91.24,1.89,49.85,845.24,0.56,125.86,116.91,0.09,17.91,73.28,0.05,10.58,2/1/2010,1003
171,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.02,1,2.07,15.31,0,2.85,68.25,0.34,5.6,103.07,2.6,66.49,376.68,2.53,116.69,57.26,0.4,16.86,32.27,0.15,9.36,3/1/2010,1003
172,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.1,1,1.87,12.97,0,2.32,33.9,0,4.85,115.07,12.34,77.14,357.07,0,109.66,50.46,0,16.04,30.66,0,8.37,4/1/2010,1003
173,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.4,11.83,0,1.98,38.76,0,4.21,127.83,18.64,72.65,765.48,2.75,139.17,93.59,0.34,19.42,50.92,0.34,9.31,5/1/2010,1003
174,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.24,11.73,0,2.07,30.76,0,4.03,139.07,23.2,64.85,464.72,0,143.21,65.26,0,18.97,39.53,0,9.43,6/1/2010,1003
175,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.1,9.83,0,2.1,20.8,0,3.52,118.68,21.77,63.76,687.94,0,247.61,80.18,0,30.89,39.03,0,12.67,7/1/2010,1003
176,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.25,9.8,0,2.09,23.63,0,3.51,140,22.17,66.88,488.41,21.47,185.26,61.73,3.07,23.86,32.83,1.66,11.67,8/1/2010,1003
177,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.38,12.8,0,2.63,29.87,0,4.05,122.69,16.8,76.28,422.99,0.24,117.29,59.44,0.03,16.69,35.27,0.03,9.28,9/1/2010,1003
178,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.34,14.83,0,3.34,45.93,0,4.61,133.62,19.27,77.91,241.23,0,63.96,33.9,0,9.33,20.93,0,4.98,10/1/2010,1003
