"","GEOID","NAME","bare","bl_dc_cl","bl_dc_co","bl_eg_co","cons_bare","crop_irg","crop_rain","crop_veg_m","grassland","hb_tr_mx","herbaceous","lich_moss","nl_dc_co","nl_eg_cl","nl_eg_co","nl_eg_op","prm_snw_ic","shrb_hrb_f","shrub_dc","shrub_eg","shrubland","sprs_herb","sprs_shrub","sprs_veg_1","tr_fld_fr","tr_fld_slt","tr_hb_mx","tr_mx_lf","tree_shrub","urban","veg_crop_m","water_bdy"
"36","48057","Calhoun",0.32,0,0.03,0,0,0,2.54,0.03,16.37,0.03,11.21,0,2.81,0,0.06,0,0,11.19,0,0,0.83,0,0,0.1,0.84,0,0.01,0,0,0.6,0.35,52.68
"43","22019","Calcasieu",0.1,0,0.09,0,0,0,1.64,0.06,33.16,0.01,7.61,0,1.35,0,22.19,0,0,10.09,0,0,2.61,0,0,0.03,11.23,0,1.41,0.01,0,4.78,0.5,3.14
"49","22105","Tangipahoa",0.23,0,0.19,0,0,0,1.07,1.09,19.4,0.03,0.48,0,0.71,0,42.49,0,0,5.03,0,0,5.36,0,0,0.08,7.83,0,5.21,0.04,0,1.79,3.24,5.73
"53","13025","Brantley",0.01,0,0.25,0,0,0,0.94,0.05,7.32,0.04,0.7,0,0.11,0,75.88,0,0,0.04,0,0,2.58,0,0,0,7.79,0,1.67,0,0,0.06,2.54,0.01
"56","48361","Orange",0.03,0,0.26,0,0,0,1.65,0.11,23.68,0.08,0.18,0,5.61,0,22.09,0,0,8.11,0,0,0.22,0,0,0.09,15.17,0,5.27,0,0,6.18,0.95,10.33
"64","48177","Gonzales",0.02,0,6.85,0,0,0,4.44,4.65,53.55,0,0.99,0,0.85,0,0.02,0,0,0.01,0,0,6.23,0,0,0,1.01,0,0.13,0.93,0,0.17,20.11,0.04
"72","12053","Hernando",0.29,0,0.02,0,0,0,1.84,0.25,15.79,0,0.41,0,0.27,0,25.95,0,0,2.63,0,0,0.27,0,0,0.23,8.91,0,0.83,0,0,8.12,1.91,32.27
"73","12129","Wakulla",0.06,0,0,0,0,0,0.05,0.01,0.69,0,0.02,0,0.19,0,44.52,0,0,4.56,0,0,0.11,0,0,0,15.84,0,0.39,0,0,0.19,0.18,33.19
"74","12131","Walton",0.37,0,0.04,0,0,0,0.75,0.23,3.51,0.03,1.38,0,0.45,0,49.35,0,0,0.56,0,0,6.11,0,0,0.04,4.95,0,1.29,0,0,0.9,5.4,24.64
"79","12127","Volusia",0.11,0,0.03,0,0,0,0.83,0.06,5.77,0.01,0,0,0.28,0,43.98,0,0,3,0,0,0.11,0,0,0,9.62,0.7,0.56,0,0,11.87,0.29,22.79
"100","48391","Refugio",0.02,0,0.03,0,0,0,26.32,5.37,12.68,0,17.1,0,1.24,0,1.83,0,0,3.17,0,0,18.09,0,0,0,2.27,0,0.04,0,0,0.11,6.23,5.51
"123","48247","Jim Hogg",0.17,0,0,0,0,0,11.77,1.95,83.1,0,0.04,0,0,0,0.16,0,0,0,0,0,1.69,0,0,0,0.01,0,0,0,0,0.02,1.09,0
"147","13049","Charlton",0.08,0,0.02,0,0,0,0.22,0.02,3.37,0,0.07,0,0.65,0,52.17,0,0,0.48,0,0,1.66,0,0,0.02,40.11,0,0.61,0.01,0,0.09,0.41,0.01
"168","48041","Brazos",0.11,0,1.84,0,0,0,2.77,0.17,66.65,0,8.54,0,0.06,0,0.86,0,0,0.03,0,0,1.79,0,0,0,6.79,0,2.42,1.81,0,3.66,2.21,0.29
"196","12051","Hendry",0.05,0,0.01,0,0,0,2.81,0.13,31.58,0.06,35.81,0,4.16,0,4.21,0,0,0.48,0,0,0.73,0,0,0,13.78,0.04,0.56,0,0,0.54,3.14,1.9
"198","48245","Jefferson",0.22,0,0.32,0,0,0,0.93,0.07,28.64,0.03,11.55,0,0.82,0,2.05,0,0,24.2,0,0,0.08,0,0,0.11,3.72,0,0.77,0,0,9.43,0.11,16.94
"201","48027","Bell",0.18,0,0.34,0,0,0,6.16,6.63,41.11,0.03,14.41,0,0,0,15.53,0,0,0.01,0,0,0.95,0,0,0.04,0.46,0,0.32,0.02,0,6.28,4.55,2.99
"227","12095","Orange",0.26,0,0.33,0,0,0,3.13,0.36,18.05,0.2,1.82,0,3.8,0,12.65,0,0,1.83,0,0,0.85,0,0,0.04,15.74,0,1.9,0,0,27.99,1.92,9.13
"252","13075","Cook",0.07,0,0,0,0,0,1.12,2.26,1.81,0,29.82,0,0.27,0,24.36,0,0,0.24,0,0,0,0,0,0,4.73,0,0.05,0,0,0.5,34.58,0.19
"285","13279","Toombs",0.06,0,0.09,0,0,0,0.76,0.55,5.36,0.02,12.69,0,0.09,0,49.25,0,0,0.05,0,0,0.91,0,0,0,4.16,0,3.17,0,0,0.69,22.12,0.03
"297","48123","DeWitt",0.12,0,1.35,0,0,0,5.96,2.9,64.46,0,0.53,0,0.26,0,2.46,0,0,0,0,0,2.4,0,0,0.03,0.91,0,0.56,0,0,0.28,17.78,0
"298","48005","Angelina",0.08,0,0.31,0,0,0,0.4,0.04,20.32,0.05,0.09,0,0.07,0,56.1,0,0,0.97,0,0,2.16,0,0,0,9.37,0,1.87,0.03,0,1.59,0.21,6.33
"309","48309","McLennan",0.04,0,0.03,0,0,0,2.28,5.5,65.26,0.01,14.28,0,0,0,3.75,0,0,0.06,0,0,0.05,0,0,0.05,0.2,0,0.03,0.1,0,3.68,3.06,1.61
"367","12041","Gilchrist",0.05,0,0.02,0,0,0,3.03,0.23,35.53,0.02,6.6,0,1.06,0,36.59,0,0,0.07,0,0,3.08,0,0,0,3.54,0,2.6,0,0,0.21,7.15,0.22
